,name,header,beds,bedrooms,date_range,price,rating
1631,Spacious Apartment for a family,Apartment in Jeddah,Spacious Apartment for a family,"5 beds,  · 3 bedrooms",Nov 19 – 24,$111,5.0 (4)
1632,2 Bedroom Apartment with Self check in,Apartment in Riyadh,2 Bedroom Apartment with Self check in,"3 beds,  · 2 bedrooms",Nov 26 – Dec 1,$91,5.0 (11)
1633,Cozy Apartment,Apartment in Riyadh,Cozy Apartment,Verified fast wifi,Nov 12 – 17,,5.0 (18)
1634,Three Bedroom Apartment - Luxury Apartment 3 Smart Entry,Apartment in Riyadh,Three Bedroom Apartment - Luxury Apartment 3 Smart Entry,"3 beds,  · 3 bedrooms",Nov 12 – 17,,4.67 (6)
1635,B2-Cozy 2 bedroom apartment,Apartment in Riyadh,B2-Cozy 2 bedroom apartment,"3 beds,  · 2 bedrooms",Nov 12 – 17,$133,4.81 (16)
1636,Apartment Hotel Groves | Three Bedrooms and Self Entry,Condo in Riyadh,Apartment Hotel Groves | Three Bedrooms and Self Entry,Dedicated workspace,Nov 25 – 30,$173,5.0 (10)
1637,"Spacious apartment with private entrance, outdoor patio",Apartment in Riyadh,"Spacious apartment with private entrance, outdoor patio","3 beds,  · 2 bedrooms",Nov 26 – Dec 1,$102,4.73 (11)
1638,Apartment room and lounge with private entrance,Apartment in Riyadh,Apartment room and lounge with private entrance,Dedicated workspace,Nov 12 – 17,,4.86 (7)
1639,"T10, 2 beds apt in Great Location شقة غرفتين جميلة",Apartment in Jeddah,"T10, 2 beds apt in Great Location شقة غرفتين جميلة","2 beds,  · 2 bedrooms",Nov 12 – 17,$60,4.68 (69)
1640,Luxury 3 Bedroom Apartment - Self Entry,Apartment in Riyadh,Luxury 3 Bedroom Apartment - Self Entry,"3 beds,  · 3 bedrooms",Nov 12 – 17,,5.0 (46)
1641,Luxury Apartment Cordoba,Apartment in Riyadh,Luxury Apartment Cordoba,"3 beds,  · 2 bedrooms",Nov 12 – 17,$146,New
1642,"Apartment in North Riyadh, self entry",Condo in Riyadh,"Apartment in North Riyadh, self entry","3 beds,  · 2 bedrooms",Nov 23 – 28,$128,4.89 (18)
1643,comfy apartment fits 9 personals,Apartment in Jeddah,comfy apartment fits 9 personals,"8 beds,  · 3 bedrooms",Nov 25 – 30,$113,New
1644,Private suite 26,Apartment in Jeddah,Private suite 26,"3 beds,  · 2 bedrooms",Nov 12 – 17,$80,New
1645,Comfortable place to spend your family vacation | comfyapartment8,Condo in Jeddah,Comfortable place to spend your family vacation | comfyapartment8,Verified fast wifi,Nov 12 – 17,$104,4.85 (34)
1646,Cordoba Apartment 2/A,Apartment in Riyadh,Cordoba Apartment 2/A,"3 beds,  · 2 bedrooms",Nov 21 – 26,$149,5.0 (15)
1647,Majdia Residence Al Majdiah Residence,Apartment in Riyadh,Majdia Residence Al Majdiah Residence,"5 beds,  · 4 bedrooms",Nov 23 – 28,$447,5.0 (33)
1648,Featured bunk villa and pool,Home in Riyadh,Featured bunk villa and pool,"4 beds,  · 2 bedrooms",Nov 25 – 30,$139,5.0 (3)
1649,Peaceful Makkah Retreat,Apartment in Makkah,Peaceful Makkah Retreat,"5 beds,  · 3 bedrooms",Nov 12 – 17,,New
1650,Spacious Apartment for a family,Apartment in Jeddah,Spacious Apartment for a family,"5 beds,  · 3 bedrooms",Nov 19 – 24,$111,5.0 (4)
1651,Lovely home cinema and piano,Apartment in Jeddah,Lovely home cinema and piano,"3 beds,  · 2 bedrooms",Nov 13 – 18,$101,New
1652,Comfy apartment for 9 personals,Apartment in Jeddah,Comfy apartment for 9 personals,"8 beds,  · 3 bedrooms",Nov 12 – 17,$136,New
